((26010, 7870), 0.653769874866984)
((26010, 370224), 0.6624814879755955)
((26010, 7868), 0.37386202369678934)
((26010, 3560), 0.5067666116716494)
((26010, 7882), 0.6906663235067735)
((26010, 49876), 0.3384024213037599)
((26010, 285508), 0.5341579861111111)
((26010, 217078), 0.5202886485042735)
((26010, 283142), 0.535083912037037)
((26010, 192748), 0.4749925875603864)
((26010, 8480), 0.4668936965811966)
((26010, 8488), 0.453896977124183)
((26010, 265366), 0.45117582070707074)
((26010, 26150), 0.6207465277777778)
((7870, 26010), 0.653769874866984)
((370224, 26010), 0.6624814879755955)
((7870, 370224), 0.7272006316068486)
((370224, 7870), 0.7272006316068486)
((7870, 7868), 0.6194638065927128)
((7870, 3560), 0.6978393637380622)
((7870, 7882), 0.5325976671743413)
((7870, 49876), 0.5968100392003532)
((370224, 7868), 0.5353066617270735)
((370224, 3560), 0.4876756451467877)
((370224, 7882), 0.5885911729954367)
((370224, 49876), 0.5614620503755317)
((7870, 285508), 0.538737323633157)
((7870, 217078), 0.5248679860263193)
((7870, 283142), 0.5396632495590828)
((7870, 192748), 0.4795719250824323)
((7870, 8480), 0.4714730341032424)
((7870, 8488), 0.45847631464622884)
((7870, 265366), 0.45575515822911655)
((7870, 26150), 0.616167190255732)
((370224, 285508), 0.6118680012313487)
((370224, 217078), 0.5979986636245112)
((370224, 283142), 0.6127939271572747)
((370224, 192748), 0.5527026026806241)
((370224, 8480), 0.5446037117014342)
((370224, 8488), 0.5316069922444207)
((370224, 265366), 0.5288858358273083)
((370224, 26150), 0.5430365126575403)
((7868, 26010), 0.37386202369678934)
((3560, 26010), 0.5067666116716494)
((7882, 26010), 0.6906663235067735)
((49876, 26010), 0.3384024213037599)
((7868, 7870), 0.6194638065927128)
((7868, 370224), 0.5353066617270735)
((3560, 7870), 0.6978393637380622)
((3560, 370224), 0.4876756451467877)
((7882, 7870), 0.5325976671743413)
((7882, 370224), 0.5885911729954367)
((49876, 7870), 0.5968100392003532)
((49876, 370224), 0.5614620503755317)
((7868, 3560), 0.41351915910807335)
((7868, 7882), 0.46876225931186866)
((7868, 49876), 0.6653232317692057)
((3560, 7868), 0.41351915910807335)
((3560, 7882), 0.37097342304070485)
((3560, 49876), 0.4075891250842648)
((7882, 7868), 0.46876225931186866)
((7882, 3560), 0.37097342304070485)
((7882, 49876), 0.5674838178212505)
((49876, 7868), 0.6653232317692057)
((49876, 3560), 0.4075891250842648)
((49876, 7882), 0.5674838178212505)
((7868, 285508), 0.6731280460858586)
((7868, 217078), 0.659258708479021)
((7868, 283142), 0.6740539720117845)
((7868, 192748), 0.613962647535134)
((7868, 8480), 0.6058637565559442)
((7868, 8488), 0.5928670370989305)
((7868, 265366), 0.5901458806818183)
((7868, 26150), 0.4817764678030303)
((3560, 285508), 0.5933967911877395)
((3560, 217078), 0.5795274535809019)
((3560, 283142), 0.5943227171136654)
((3560, 192748), 0.5342313926370148)
((3560, 8480), 0.5261325016578249)
((3560, 8488), 0.5131357822008114)
((3560, 265366), 0.510414625783699)
((3560, 26150), 0.5615077227011495)
((7882, 285508), 0.6047743055555556)
((7882, 217078), 0.5909049679487179)
((7882, 283142), 0.6057002314814814)
((7882, 192748), 0.5456089070048309)
((7882, 8480), 0.537510016025641)
((7882, 8488), 0.5245132965686274)
((7882, 265366), 0.5217921401515151)
((7882, 26150), 0.5501302083333334)
((49876, 285508), 0.6333185477506924)
((49876, 217078), 0.6194492101438548)
((49876, 283142), 0.6342444736766183)
((49876, 192748), 0.5741531491999677)
((49876, 8480), 0.5660542582207779)
((49876, 8488), 0.5530575387637643)
((49876, 265366), 0.550336382346652)
((49876, 26150), 0.5215859661381965)
((285508, 26010), 0.4658420138888889)
((217078, 26010), 0.4797113514957265)
((283142, 26010), 0.46491608796296297)
((192748, 26010), 0.5250074124396136)
((8480, 26010), 0.5331063034188034)
((8488, 26010), 0.546103022875817)
((265366, 26010), 0.5488241792929293)
((26150, 26010), 0.6207465277777778)
((285508, 7870), 0.46126267636684304)
((285508, 370224), 0.3881319987686513)
((217078, 7870), 0.47513201397368066)
((217078, 370224), 0.4020013363754889)
((283142, 7870), 0.46033675044091715)
((283142, 370224), 0.38720607284272535)
((192748, 7870), 0.5204280749175677)
((192748, 370224), 0.44729739731937596)
((8480, 7870), 0.5285269658967575)
((8480, 370224), 0.4553962882985658)
((8488, 7870), 0.5415236853537712)
((8488, 370224), 0.4683930077555794)
